id,latitude,longitude
0,38.908139,-76.968721
1,38.908139,-76.968422
2,38.879459,-76.929888
3,38.878551,-76.930012
4,38.921352,-77.045859
5,38.921764,-77.04604
6,38.89833,-77.044911
7,38.899587,-77.044908
8,38.894793,-77.014501
9,38.894802,-77.015171
10,38.880731,-76.988315
11,38.879426,-76.987744
12,38.943317,-77.012748
13,38.943313,-77.012928
14,38.894796,-77.010945
15,38.89613,-77.011434
16,38.868078,-76.995093
17,38.869382,-76.990807
18,38.954701,-77.073221
19,38.955072,-77.072947
20,38.89673,-76.998447
21,38.896973,-76.998448
22,38.888382,-76.993762
23,38.887602,-76.993764
24,38.892786,-76.957958
25,38.892399,-76.957957
26,38.97195,-77.029037
27,38.971952,-77.029693
28,38.917003,-77.005093
29,38.917003,-77.004751
30,38.900212,-77.000573
31,38.900212,-76.999509
32,38.951752,-77.073255
33,38.951423,-77.07207
34,38.96132,-77.023725
35,38.960748,-77.023724
36,38.968226,-77.011692
37,38.966897,-77.010461
38,38.884933,-76.981745
39,38.88536,-76.981751
40,38.956824,-76.994621
41,38.957281,-76.994622
42,38.914841,-77.037162
43,38.914511,-77.037162
44,38.898137,-77.001302
45,38.898139,-77.001515
46,38.981356,-77.030732
47,38.98136,-77.031606
48,38.912206,-77.006548
49,38.912602,-77.006551
50,38.903255,-77.025041
51,38.903374,-77.025388
52,38.929846,-76.98556
53,38.929867,-76.985153
54,38.911136,-77.046632
55,38.911543,-77.046632
56,38.925586,-76.97217
57,38.925587,-76.971846
58,38.926214,-77.060799
59,38.926205,-77.061253
60,38.874622,-76.992666
61,38.873292,-76.992646
62,38.902822,-77.063906
63,38.903003,-77.064654
64,38.903123,-77.065006
65,38.903327,-77.064655
66,38.88129,-77.019915
67,38.880322,-77.019907
68,38.94028,-77.027948
69,38.940811,-77.027641
70,38.894055,-76.91778
71,38.894051,-76.917132
72,38.951016,-77.012795
73,38.95157,-77.012385
74,38.927225,-77.108379
75,38.928588,-77.109228
76,38.931458,-77.041301
77,38.931909,-77.041299
78,38.873469,-76.936096
79,38.873195,-76.936225
80,38.919748,-77.025242
81,38.920678,-77.025223
82,38.889758,-76.920704
83,38.889758,-76.919398
84,38.909049,-76.935476
85,38.908722,-76.935069
86,38.873825,-76.933857
87,38.874432,-76.93306
88,38.948406,-77.021936
89,38.948389,-77.022542
90,38.941798,-76.976225
91,38.942491,-76.97623
92,38.926019,-76.992436
93,38.926509,-76.992437
94,38.880639,-76.98127
95,38.880543,-76.98127
96,38.972845,-77.06511
97,38.972845,-77.066381
98,38.933489,-77.073981
99,38.933961,-77.0739
100,38.920232,-76.979475
101,38.920235,-76.978996
102,38.946537,-77.005849
103,38.946321,-77.006326
104,38.916287,-77.004746
105,38.916659,-77.004749
